Index,STATION,LINENAME,unique_name,NTA dist ID,NTA dist name,Univ_near,University Name,Flatiron district,Dumbo
444,TIMES SQ-42 ST,1237ACENQRS,TIMES SQ-42 ST - 1237ACENQRS,MN17,Midtown-Midtown South,Y,Georgetown University,N,N
445,TIMES SQ-42 ST,1237ACENQRSW,TIMES SQ-42 ST - 1237ACENQRSW,MN17,Midtown-Midtown South,Y,Georgetown University,N,N
472,YORK ST,F,,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Y,,N,Y
474,COURT ST,NR ,,BK09,Brooklyn Heights-Cobble Hill,N,,N,N
450,UNION ST,R,,BK37,Park Slope-Gowanus,N,,N,N
457,W 4 ST-WASH SQ,ABCDEFM,,MN23,West Village,Y,New York University,N,N
460,WALL ST,23,,MN25,Battery Park City-Lower Manhattan,N,,N,N
461,WALL ST,45,,MN25,Battery Park City-Lower Manhattan,N,,N,N
464,WHITEHALL S-FRY,R1W,,MN25,Battery Park City-Lower Manhattan,N,,N,N
446,TIMES SQ-42 ST,ACENQRS1237W,,,,N,,N,N
447,TOMPKINSVILLE,1,,,,N,,N,N
448,TREMONT AV,BD,,,,N,,N,N
449,TWENTY THIRD ST,1,,,,N,,N,N
451,UTICA AV,AC,,,,N,,N,N
452,V.CORTLANDT PK,1,,,,N,,N,N
453,VAN SICLEN AV,3,,,,N,,N,N
454,VAN SICLEN AV,JZ,,,,N,,N,N
455,VAN SICLEN AVE,C,,,,N,,N,N
456,VERNON-JACKSON,7,,,,N,,N,N
458,W 8 ST-AQUARIUM,FQ,,,,N,,N,N
459,WAKEFIELD/241,2,,,,N,,N,N
462,WEST FARMS SQ,25,,,,N,,N,N
463,WESTCHESTER SQ,6,,,,N,,N,N
465,WHITLOCK AV,6,,,,N,,N,N
466,WILSON AV,L,,,,N,,N,N
467,WINTHROP ST,25,,,,N,,N,N
468,WOODHAVEN BLVD,JZ,,,,N,,N,N
469,WOODHAVEN BLVD,MR,,,,N,,N,N
470,WOODLAWN,4,,,,N,,N,N
471,WORLD TRADE CTR,ACE23,,,,N,,N,N
473,ZEREGA AV,6,,,,N,,N,N
